nifty50,nifty100,nifty200,nifty500,niftyall,niftybank,niftyit,niftypsubank,niftyfmcg,niftyprivatebank,niftymetal,niftypharma,niftyfinance
,,,MAHSCOOTER.NS,CONSOFINVT.NS,,,,,,,,
,,,MAHSEAMLES.NS,CONTROLPR.NS,,,,,,,,
,,,M&MFIN.NS,CORALFINAC.NS,,,,,,,,
,,,M&M.NS,CORDSCABLE.NS,,,,,,,,
,,,MAHINDCIE.NS,COROMANDEL.NS,,,,,,,,
,,,MHRIL.NS,COSMOFILMS.NS,,,,,,,,
,,,MAHLOG.NS,COUNCODOS.NS,,,,,,,,
,,,MANAPPURAM.NS,COX&KINGS.NS,,,,,,,,
,,,MRPL.NS,CREATIVE.NS,,,,,,,,
,,,MARICO.NS,CREATIVEYE.NS,,,,,,,,
,,,MARUTI.NS,CREDITACC.NS,,,,,,,,
,,,MFSL.NS,CREST.NS,,,,,,,,
,,,METROPOLIS.NS,CRISIL.NS,,,,,,,,
,,,MINDTREE.NS,CROMPTON.NS,,,,,,,,
,,,MINDACORP.NS,CSBBANK.NS,,,,,,,,
,,,MINDAIND.NS,CTE.NS,,,,,,,,
,,,MIDHANI.NS,CUB.NS,,,,,,,,
,,,MOTHERSUMI.NS,CUBEXTUB.NS,,,,,,,,
,,,MOTILALOFS.NS,CUMMINSIND.NS,,,,,,,,
,,,MPHASIS.NS,CUPID.NS,,,,,,,,
,,,MCX.NS,CYBERTECH.NS,,,,,,,,
,,,MUTHOOTFIN.NS,CYIENT.NS,,,,,,,,
,,,NATCOPHARM.NS,DAAWAT.NS,,,,,,,,
,,,NBCC.NS,DABUR.NS,,,,,,,,
,,,NCC.NS,DALBHARAT.NS,,,,,,,,
,,,NESCO.NS,DALMIASUG.NS,,,,,,,,
,,,NHPC.NS,DAMODARIND.NS,,,,,,,,
,,,NIITTECH.NS,DATAMATICS.NS,,,,,,,,
,,,NLCINDIA.NS,DBCORP.NS,,,,,,,,
,,,NMDC.NS,DBL.NS,,,,,,,,
,,,NTPC.NS,DBREALTY.NS,,,,,,,,
,,,NH.NS,DBSTOCKBRO.NS,,,,,,,,
,,,NATIONALUM.NS,DCAL.NS,,,,,,,,
,,,NFL.NS,DCBBANK.NS,,,,,,,,
,,,NBVENTURES.NS,DCM.NS,,,,,,,,
,,,NAVINFLUOR.NS,DCMFINSERV.NS,,,,,,,,
,,,NESTLEIND.NS,DCMNVL.NS,,,,,,,,
,,,NETWORK18.NS,DCMSHRIRAM.NS,,,,,,,,
,,,NILKAMAL.NS,DCW.NS,,,,,,,,
,,,NAM-INDIA.NS,DECCANCE.NS,,,,,,,,
,,,OBEROIRLTY.NS,DEEPAKFERT.NS,,,,,,,,
,,,ONGC.NS,DEEPAKNTR.NS,,,,,,,,
,,,OIL.NS,DEEPIND.NS,,,,,,,,
,,,OMAXE.NS,DELTACORP.NS,,,,,,,,
,,,OFSS.NS,DELTAMAGNT.NS,,,,,,,,
,,,ORIENTCEM.NS,DEN.NS,,,,,,,,
,,,ORIENTELEC.NS,DENORA.NS,,,,,,,,
,,,ORIENTREF.NS,DFMFOODS.NS,,,,,,,,
,,,PCJEWELLER.NS,DGCONTENT.NS,,,,,,,,
,,,PIIND.NS,DHAMPURSUG.NS,,,,,,,,
,,,PNBHOUSING.NS,DHANBANK.NS,,,,,,,,
,,,PNCINFRA.NS,DHANUKA.NS,,,,,,,,
,,,PTC.NS,DHARSUGAR.NS,,,,,,,,
,,,PVR.NS,DHFL.NS,,,,,,,,
,,,PAGEIND.NS,DHUNINV.NS,,,,,,,,
,,,PARAGMILK.NS,DIAMONDYD.NS,,,,,,,,
,,,PERSISTENT.NS,DIAPOWER.NS,,,,,,,,
,,,PETRONET.NS,DICIND.NS,,,,,,,,
,,,PFIZER.NS,DIGISPICE.NS,,,,,,,,
,,,PHILIPCARB.NS,DIGJAMLTD.NS,,,,,,,,
,,,PHOENIXLTD.NS,DISHTV.NS,,,,,,,,
,,,PIDILITIND.NS,DIVISLAB.NS,,,,,,,,
,,,PEL.NS,DIXON.NS,,,,,,,,
,,,POLYCAB.NS,DLF.NS,,,,,,,,
,,,PFC.NS,DLINKINDIA.NS,,,,,,,,
,,,POWERGRID.NS,DMART.NS,,,,,,,,
,,,PRAJIND.NS,DNAMEDIA.NS,,,,,,,,
,,,PRESTIGE.NS,DOLAT.NS,,,,,,,,
,,,PRSMJOHNSN.NS,DOLLAR.NS,,,,,,,,
,,,PGHL.NS,DONEAR.NS,,,,,,,,
,,,PGHH.NS,DPSCLTD.NS,,,,,,,,
,,,PNB.NS,DPWIRES.NS,,,,,,,,
,,,QUESS.NS,DQE.NS,,,,,,,,
,,,RBLBANK.NS,DREDGECORP.NS,,,,,,,,
,,,RECLTD.NS,DRREDDY.NS,,,,,,,,
,,,RITES.NS,DSSL.NS,,,,,,,,
,,,RADICO.NS,DTIL.NS,,,,,,,,
,,,RVNL.NS,DUCON.NS,,,,,,,,
,,,RAIN.NS,DVL.NS,,,,,,,,
,,,RAJESHEXPO.NS,DWARKESH.NS,,,,,,,,
,,,RALLIS.NS,DYNAMATECH.NS,,,,,,,,
,,,RCF.NS,DYNPRO.NS,,,,,,,,
,,,RATNAMANI.NS,EASTSILK.NS,,,,,,,,
,,,RAYMOND.NS,EASUNREYRL.NS,,,,,,,,
,,,REDINGTON.NS,EBIXFOREX.NS,,,,,,,,
,,,RELAXO.NS,ECLERX.NS,,,,,,,,
,,,RELCAPITAL.NS,EDELWEISS.NS,,,,,,,,
,,,RELIANCE.NS,EDL.NS,,,,,,,,
,,,RELINFRA.NS,EDUCOMP.NS,,,,,,,,
,,,RPOWER.NS,EICHERMOT.NS,,,,,,,,
,,,REPCOHOME.NS,EIDPARRY.NS,,,,,,,,
,,,RESPONIND.NS,EIHAHOTELS.NS,,,,,,,,
,,,SHK.NS,EIHOTEL.NS,,,,,,,,
,,,SBILIFE.NS,EIMCOELECO.NS,,,,,,,,
,,,SJVN.NS,EKC.NS,,,,,,,,
,,,SKFINDIA.NS,ELECON.NS,,,,,,,,
,,,SRF.NS,ELECTCAST.NS,,,,,,,,
,,,SADBHAV.NS,ELECTHERM.NS,,,,,,,,
,,,SANOFI.NS,ELGIEQUIP.NS,,,,,,,,
,,,SCHAEFFLER.NS,ELGIRUBCO.NS,,,,,,,,
,,,SIS.NS,EMAMILTD.NS,,,,,,,,
,,,SFL.NS,EMAMIPAP.NS,,,,,,,,
,,,SHILPAMED.NS,EMAMIREAL.NS,,,,,,,,
,,,SHOPERSTOP.NS,EMCO.NS,,,,,,,,
,,,SHREECEM.NS,EMKAY.NS,,,,,,,,
,,,RENUKA.NS,EMMBI.NS,,,,,,,,
,,,SHRIRAMCIT.NS,ENDURANCE.NS,,,,,,,,
,,,SRTRANSFIN.NS,ENERGYDEV.NS,,,,,,,,
,,,SIEMENS.NS,ENGINERSIN.NS,,,,,,,,
,,,SOBHA.NS,ENIL.NS,,,,,,,,
,,,SOLARINDS.NS,EQUITAS.NS,,,,,,,,
,,,SONATSOFTW.NS,ERIS.NS,,,,,,,,
,,,SOUTHBANK.NS,EROSMEDIA.NS,,,,,,,,
,,,SPANDANA.NS,ESABINDIA.NS,,,,,,,,
,,,SPICEJET.NS,ESCORTS.NS,,,,,,,,
,,,STARCEMENT.NS,ESSARSHPNG.NS,,,,,,,,
,,,SBIN.NS,ESSELPACK.NS,,,,,,,,
,,,SAIL.NS,ESTER.NS,,,,,,,,
,,,SWSOLAR.NS,EUROCERA.NS,,,,,,,,
,,,STRTECH.NS,EUROMULTI.NS,,,,,,,,
,,,STAR.NS,EUROTEXIND.NS,,,,,,,,
,,,SUDARSCHEM.NS,EVEREADY.NS,,,,,,,,
,,,SPARC.NS,EVERESTIND.NS,,,,,,,,
,,,SUNPHARMA.NS,EXCEL.NS,,,,,,,,
,,,SUNTV.NS,EXCELINDUS.NS,,,,,,,,
,,,SUNCLAYLTD.NS,EXIDEIND.NS,,,,,,,,
,,,SUNDARMFIN.NS,EXPLEOSOL.NS,,,,,,,,
,,,SUNDRMFAST.NS,FACT.NS,,,,,,,,
,,,SUNTECK.NS,FAIRCHEM.NS,,,,,,,,
,,,SUPRAJIT.NS,FCL.NS,,,,,,,,
,,,SUPREMEIND.NS,FCONSUMER.NS,,,,,,,,
,,,SUZLON.NS,FCSSOFT.NS,,,,,,,,
,,,SWANENERGY.NS,FDC.NS,,,,,,,,
,,,SYMPHONY.NS,FEDERALBNK.NS,,,,,,,,
,,,SYNGENE.NS,FEL.NS,,,,,,,,
,,,TCIEXP.NS,FELDVR.NS,,,,,,,,
,,,TCNSBRANDS.NS,FIEMIND.NS,,,,,,,,
,,,TTKPRESTIG.NS,FILATEX.NS,,,,,,,,
,,,TVTODAY.NS,FINCABLES.NS,,,,,,,,
,,,TV18BRDCST.NS,FINEORG.NS,,,,,,,,
,,,TVSMOTOR.NS,FINPIPE.NS,,,,,,,,
,,,TAKE.NS,FLEXITUFF.NS,,,,,,,,
,,,TASTYBITE.NS,FLFL.NS,,,,,,,,
,,,TCS.NS,FLUOROCHEM.NS,,,,,,,,
,,,TATACONSUM.NS,FMGOETZE.NS,,,,,,,,
,,,TATAELXSI.NS,FMNL.NS,,,,,,,,
,,,TATAINVEST.NS,FORCEMOT.NS,,,,,,,,
,,,TATAMTRDVR.NS,FORTIS.NS,,,,,,,,
,,,TATAMOTORS.NS,FOSECOIND.NS,,,,,,,,
,,,TATAPOWER.NS,FRETAIL.NS,,,,,,,,
,,,TATASTLBSL.NS,FSC.NS,,,,,,,,
,,,TATASTEEL.NS,FSL.NS,,,,,,,,
,,,TEAMLEASE.NS,GABRIEL.NS,,,,,,,,
,,,TECHM.NS,GAEL.NS,,,,,,,,
,,,TECHNOE.NS,GAIL.NS,,,,,,,,
,,,NIACL.NS,GAL.NS,,,,,,,,
,,,RAMCOCEM.NS,GALAXYSURF.NS,,,,,,,,
,,,THERMAX.NS,GALLANTT.NS,,,,,,,,
,,,THYROCARE.NS,GALLISPAT.NS,,,,,,,,
,,,TIMETECHNO.NS,GAMMNINFRA.NS,,,,,,,,
,,,TIMKEN.NS,GANDHITUBE.NS,,,,,,,,
,,,TITAN.NS,GANECOS.NS,,,,,,,,
,,,TORNTPHARM.NS,GANESHHOUC.NS,,,,,,,,
,,,TORNTPOWER.NS,GANGESSECU.NS,,,,,,,,
,,,TRENT.NS,GARDENSILK.NS,,,,,,,,
,,,TRIDENT.NS,GARFIBRES.NS,,,,,,,,
,,,TRITURBINE.NS,GATI.NS,,,,,,,,
,,,TIINDIA.NS,GAYAHWS.NS,,,,,,,,
,,,UCOBANK.NS,GAYAPROJ.NS,,,,,,,,
,,,UFLEX.NS,GBGLOBAL.NS,,,,,,,,
,,,UPL.NS,GDL.NS,,,,,,,,
,,,UJJIVAN.NS,GEECEE.NS,,,,,,,,
,,,ULTRACEMCO.NS,GEEKAYWIRE.NS,,,,,,,,
,,,UNIONBANK.NS,GENESYS.NS,,,,,,,,
,,,UBL.NS,GENUSPAPER.NS,,,,,,,,
,,,MCDOWELL-N.NS,GENUSPOWER.NS,,,,,,,,
,,,VGUARD.NS,GEOJITFSL.NS,,,,,,,,
,,,VMART.NS,GEPIL.NS,,,,,,,,
,,,VIPIND.NS,GESHIP.NS,,,,,,,,
,,,VRLLOG.NS,GET&D.NS,,,,,,,,
,,,VSTIND.NS,GFLLIMITED.NS,,,,,,,,
,,,WABAG.NS,GFSTEELS.NS,,,,,,,,
,,,VAIBHAVGBL.NS,GHCL.NS,,,,,,,,
,,,VAKRANGEE.NS,GICHSGFIN.NS,,,,,,,,
,,,VTL.NS,GICRE.NS,,,,,,,,
,,,VARROC.NS,GILLANDERS.NS,,,,,,,,
,,,VBL.NS,GILLETTE.NS,,,,,,,,
,,,VEDL.NS,GINNIFILA.NS,,,,,,,,
,,,VENKEYS.NS,GIPCL.NS,,,,,,,,
,,,VINATIORGA.NS,GISOLUTION.NS,,,,,,,,
,,,IDEA.NS,GKWLIMITED.NS,,,,,,,,
,,,VOLTAS.NS,GLAXO.NS,,,,,,,,
,,,WABCOINDIA.NS,GLENMARK.NS,,,,,,,,
,,,WELCORP.NS,GLFL.NS,,,,,,,,
,,,WELSPUNIND.NS,GLOBALVECT.NS,,,,,,,,
,,,WESTLIFE.NS,GLOBOFFS.NS,,,,,,,,
,,,WHIRLPOOL.NS,GLOBUSSPR.NS,,,,,,,,
,,,WIPRO.NS,GMBREW.NS,,,,,,,,
,,,WOCKPHARMA.NS,GMDCLTD.NS,,,,,,,,
,,,ZEEL.NS,GMMPFAUDLR.NS,,,,,,,,
,,,ZENSARTECH.NS,GMRINFRA.NS,,,,,,,,
,,,ZYDUSWELL.NS,GNA.NS,,,,,,,,
,,,ECLERX.NS,GNFC.NS,,,,,,,,
,,,,GOACARBON.NS,,,,,,,,
,,,,GOCLCORP.NS,,,,,,,,
,,,,GODFRYPHLP.NS,,,,,,,,
,,,,GODREJAGRO.NS,,,,,,,,
,,,,GODREJCP.NS,,,,,,,,
,,,,GODREJIND.NS,,,,,,,,
,,,,GODREJPROP.NS,,,,,,,,
,,,,GOENKA.NS,,,,,,,,
,,,,GOKEX.NS,,,,,,,,
,,,,GOKUL.NS,,,,,,,,
,,,,GOKULAGRO.NS,,,,,,,,
,,,,GOLDENTOBC.NS,,,,,,,,
,,,,GOLDIAM.NS,,,,,,,,
,,,,GOLDTECH.NS,,,,,,,,
,,,,GOODLUCK.NS,,,,,,,,
,,,,GPIL.NS,,,,,,,,
,,,,GPPL.NS,,,,,,,,
,,,,GPTINFRA.NS,,,,,,,,
,,,,GRANULES.NS,,,,,,,,
,,,,GRAPHITE.NS,,,,,,,,
,,,,GRASIM.NS,,,,,,,,
,,,,GRAVITA.NS,,,,,,,,
,,,,GREAVESCOT.NS,,,,,,,,
,,,,GREENLAM.NS,,,,,,,,
,,,,GREENPANEL.NS,,,,,,,,
,,,,GREENPLY.NS,,,,,,,,
,,,,GREENPOWER.NS,,,,,,,,
,,,,GRINDWELL.NS,,,,,,,,
,,,,GROBTEA.NS,,,,,,,,
,,,,GRPLTD.NS,,,,,,,,
,,,,GRSE.NS,,,,,,,,
,,,,GSCLCEMENT.NS,,,,,,,,
,,,,GSFC.NS,,,,,,,,
,,,,GSPL.NS,,,,,,,,
,,,,GSS.NS,,,,,,,,
,,,,GTL.NS,,,,,,,,
,,,,GTLINFRA.NS,,,,,,,,
,,,,GTNIND.NS,,,,,,,,
,,,,GTNTEX.NS,,,,,,,,
,,,,GTPL.NS,,,,,,,,
,,,,GUFICBIO.NS,,,,,,,,
,,,,GUJALKALI.NS,,,,,,,,
,,,,GUJAPOLLO.NS,,,,,,,,
,,,,GUJGASLTD.NS,,,,,,,,
,,,,GUJRAFFIA.NS,,,,,,,,
,,,,GULFOILLUB.NS,,,,,,,,
,,,,GULFPETRO.NS,,,,,,,,
,,,,GULPOLY.NS,,,,,,,,
,,,,GVKPIL.NS,,,,,,,,
,,,,HAL.NS,,,,,,,,
,,,,HARITASEAT.NS,,,,,,,,
,,,,HARRMALAYA.NS,,,,,,,,
,,,,HATHWAY.NS,,,,,,,,
,,,,HATSUN.NS,,,,,,,,
,,,,HAVELLS.NS,,,,,,,,
,,,,HAVISHA.NS,,,,,,,,
,,,,HBLPOWER.NS,,,,,,,,
,,,,HBSL.NS,,,,,,,,
,,,,HCC.NS,,,,,,,,
,,,,HCG.NS,,,,,,,,
,,,,HCL-INSYS.NS,,,,,,,,
,,,,HCLTECH.NS,,,,,,,,
,,,,HDFC.NS,,,,,,,,
,,,,HDFCAMC.NS,,,,,,,,
,,,,HDFCBANK.NS,,,,,,,,
,,,,HDFCLIFE.NS,,,,,,,,
,,,,HDIL.NS,,,,,,,,
,,,,HEG.NS,,,,,,,,
,,,,HEIDELBERG.NS,,,,,,,,
,,,,HERCULES.NS,,,,,,,,
,,,,HERITGFOOD.NS,,,,,,,,
,,,,HEROMOTOCO.NS,,,,,,,,
,,,,HESTERBIO.NS,,,,,,,,
,,,,HEXATRADEX.NS,,,,,,,,
,,,,HEXAWARE.NS,,,,,,,,
,,,,HFCL.NS,,,,,,,,
,,,,HGINFRA.NS,,,,,,,,
,,,,HGS.NS,,,,,,,,
,,,,HIKAL.NS,,,,,,,,
,,,,HIL.NS,,,,,,,,
,,,,HILTON.NS,,,,,,,,
,,,,HIMATSEIDE.NS,,,,,,,,
,,,,HINDALCO.NS,,,,,,,,
,,,,HINDCOMPOS.NS,,,,,,,,
,,,,HINDCOPPER.NS,,,,,,,,
,,,,HINDMOTORS.NS,,,,,,,,
,,,,HINDNATGLS.NS,,,,,,,,
,,,,HINDOILEXP.NS,,,,,,,,
,,,,HINDPETRO.NS,,,,,,,,
,,,,HINDUNILVR.NS,,,,,,,,
,,,,HINDZINC.NS,,,,,,,,
,,,,HIRECT.NS,,,,,,,,
,,,,HISARMETAL.NS,,,,,,,,
,,,,HITECH.NS,,,,,,,,
,,,,HITECHCORP.NS,,,,,,,,
,,,,HITECHGEAR.NS,,,,,,,,
,,,,HLVLTD.NS,,,,,,,,
,,,,HMT.NS,,,,,,,,
,,,,HMVL.NS,,,,,,,,
,,,,HNDFDS.NS,,,,,,,,
,,,,HONAUT.NS,,,,,,,,
,,,,HONDAPOWER.NS,,,,,,,,
,,,,HOTELRUGBY.NS,,,,,,,,
,,,,HOVS.NS,,,,,,,,
,,,,HPL.NS,,,,,,,,
,,,,HSCL.NS,,,,,,,,
,,,,HSIL.NS,,,,,,,,
,,,,HTMEDIA.NS,,,,,,,,
,,,,HUBTOWN.NS,,,,,,,,
,,,,HUDCO.NS,,,,,,,,
,,,,IBREALEST.NS,,,,,,,,
,,,,IBULHSGFIN.NS,,,,,,,,
,,,,IBULISL.NS,,,,,,,,
,,,,IBVENTURES.NS,,,,,,,,
,,,,ICICIBANK.NS,,,,,,,,
,,,,ICICIGI.NS,,,,,,,,
,,,,ICICIPRULI.NS,,,,,,,,
,,,,ICIL.NS,,,,,,,,
,,,,ICRA.NS,,,,,,,,
,,,,IDBI.NS,,,,,,,,
,,,,IDEA.NS,,,,,,,,
,,,,IDFC.NS,,,,,,,,
,,,,IDFCFIRSTB.NS,,,,,,,,
,,,,IEX.NS,,,,,,,,
,,,,IFBAGRO.NS,,,,,,,,
,,,,IFBIND.NS,,,,,,,,
,,,,IFCI.NS,,,,,,,,
,,,,IFGLEXPOR.NS,,,,,,,,
,,,,IGARASHI.NS,,,,,,,,
,,,,IGL.NS,,,,,,,,
,,,,IGPL.NS,,,,,,,,
,,,,IIFL.NS,,,,,,,,
,,,,IIFLSEC.NS,,,,,,,,
,,,,IIFLWAM.NS,,,,,,,,
,,,,IITL.NS,,,,,,,,
,,,,IL&FSENGG.NS,,,,,,,,
,,,,IL&FSTRANS.NS,,,,,,,,
,,,,IMAGICAA.NS,,,,,,,,
,,,,IMFA.NS,,,,,,,,
,,,,IMPAL.NS,,,,,,,,
,,,,INDBANK.NS,,,,,,,,
,,,,INDHOTEL.NS,,,,,,,,
,,,,INDIACEM.NS,,,,,,,,
,,,,INDIAGLYCO.NS,,,,,,,,
,,,,INDIAMART.NS,,,,,,,,
,,,,INDIANB.NS,,,,,,,,
,,,,INDIANCARD.NS,,,,,,,,
,,,,INDIANHUME.NS,,,,,,,,
,,,,INDIGO.NS,,,,,,,,
,,,,INDLMETER.NS,,,,,,,,
,,,,INDNIPPON.NS,,,,,,,,
,,,,INDOCO.NS,,,,,,,,
,,,,INDORAMA.NS,,,,,,,,
,,,,INDOSOLAR.NS,,,,,,,,
,,,,INDOSTAR.NS,,,,,,,,
,,,,INDOTECH.NS,,,,,,,,
,,,,INDOTHAI.NS,,,,,,,,
,,,,INDOWIND.NS,,,,,,,,
,,,,INDRAMEDCO.NS,,,,,,,,
,,,,INDSWFTLAB.NS,,,,,,,,
,,,,INDSWFTLTD.NS,,,,,,,,
,,,,INDTERRAIN.NS,,,,,,,,
,,,,INDUSINDBK.NS,,,,,,,,
,,,,INEOSSTYRO.NS,,,,,,,,
,,,,INFIBEAM.NS,,,,,,,,
,,,,INFOBEAN.NS,,,,,,,,
,,,,INFOMEDIA.NS,,,,,,,,
,,,,INFRATEL.NS,,,,,,,,
,,,,INFY.NS,,,,,,,,
,,,,INGERRAND.NS,,,,,,,,
,,,,INOXLEISUR.NS,,,,,,,,
,,,,INOXWIND.NS,,,,,,,,
,,,,INSECTICID.NS,,,,,,,,
,,,,INSPIRISYS.NS,,,,,,,,
,,,,INTEGRA.NS,,,,,,,,
,,,,INTELLECT.NS,,,,,,,,
,,,,INTENTECH.NS,,,,,,,,
,,,,INVENTURE.NS,,,,,,,,
,,,,IOB.NS,,,,,,,,
,,,,IOC.NS,,,,,,,,
,,,,IOLCP.NS,,,,,,,,
,,,,IPCALAB.NS,,,,,,,,
,,,,IRB.NS,,,,,,,,
,,,,IRCON.NS,,,,,,,,
,,,,IRCTC.NS,,,,,,,,
,,,,ISEC.NS,,,,,,,,
,,,,ISFT.NS,,,,,,,,
,,,,ISMTLTD.NS,,,,,,,,
,,,,ITC.NS,,,,,,,,
,,,,ITDC.NS,,,,,,,,
,,,,ITDCEM.NS,,,,,,,,
,,,,ITI.NS,,,,,,,,
,,,,IVC.NS,,,,,,,,
,,,,IVP.NS,,,,,,,,
,,,,IZMO.NS,,,,,,,,
,,,,J&KBANK.NS,,,,,,,,
,,,,JAGRAN.NS,,,,,,,,
,,,,JAGSNPHARM.NS,,,,,,,,
,,,,JAIBALAJI.NS,,,,,,,,
,,,,JAICORPLTD.NS,,,,,,,,
,,,,JAIHINDPRO.NS,,,,,,,,
,,,,JAINSTUDIO.NS,,,,,,,,
,,,,JAMNAAUTO.NS,,,,,,,,
,,,,JASH.NS,,,,,,,,
,,,,JAYAGROGN.NS,,,,,,,,
,,,,JAYBARMARU.NS,,,,,,,,
,,,,JAYNECOIND.NS,,,,,,,,
,,,,JAYSREETEA.NS,,,,,,,,
,,,,JBCHEPHARM.NS,,,,,,,,
,,,,JBFIND.NS,,,,,,,,
,,,,JBMA.NS,,,,,,,,
,,,,JCHAC.NS,,,,,,,,
,,,,JETAIRWAYS.NS,,,,,,,,
,,,,JHS.NS,,,,,,,,
,,,,JIKIND.NS,,,,,,,,
,,,,JINDALPHOT.NS,,,,,,,,
,,,,JINDALPOLY.NS,,,,,,,,
,,,,JINDALSAW.NS,,,,,,,,
,,,,JINDALSTEL.NS,,,,,,,,
,,,,JINDRILL.NS,,,,,,,,
,,,,JINDWORLD.NS,,,,,,,,
,,,,JISLDVREQS.NS,,,,,,,,
,,,,JISLJALEQS.NS,,,,,,,,
,,,,JITFINFRA.NS,,,,,,,,
,,,,JIYAECO.NS,,,,,,,,
,,,,JKCEMENT.NS,,,,,,,,
,,,,JKIL.NS,,,,,,,,
,,,,JKLAKSHMI.NS,,,,,,,,
,,,,JKPAPER.NS,,,,,,,,
,,,,JKTYRE.NS,,,,,,,,
,,,,JMA.NS,,,,,,,,
,,,,JMCPROJECT.NS,,,,,,,,
,,,,JMFINANCIL.NS,,,,,,,,
,,,,JMTAUTOLTD.NS,,,,,,,,
,,,,JOCIL.NS,,,,,,,,
,,,,JPASSOCIAT.NS,,,,,,,,
,,,,JPINFRATEC.NS,,,,,,,,
,,,,JPOLYINVST.NS,,,,,,,,
,,,,JPPOWER.NS,,,,,,,,
,,,,JSL.NS,,,,,,,,
,,,,JSLHISAR.NS,,,,,,,,
,,,,JSWENERGY.NS,,,,,,,,
,,,,JSWHL.NS,,,,,,,,
,,,,JSWSTEEL.NS,,,,,,,,
,,,,JTEKTINDIA.NS,,,,,,,,
,,,,JUBILANT.NS,,,,,,,,
,,,,JUBLFOOD.NS,,,,,,,,
,,,,JUBLINDS.NS,,,,,,,,
,,,,JUMPNET.NS,,,,,,,,
,,,,JUSTDIAL.NS,,,,,,,,
,,,,JVLAGRO.NS,,,,,,,,
,,,,JYOTHYLAB.NS,,,,,,,,
,,,,JYOTISTRUC.NS,,,,,,,,
,,,,KABRAEXTRU.NS,,,,,,,,
,,,,KAJARIACER.NS,,,,,,,,
,,,,KAKATCEM.NS,,,,,,,,
,,,,KALPATPOWR.NS,,,,,,,,
,,,,KALYANI.NS,,,,,,,,
,,,,KALYANIFRG.NS,,,,,,,,
,,,,KAMATHOTEL.NS,,,,,,,,
,,,,KAMDHENU.NS,,,,,,,,
,,,,KANANIIND.NS,,,,,,,,
,,,,KANORICHEM.NS,,,,,,,,
,,,,KANSAINER.NS,,,,,,,,
,,,,KARDA.NS,,,,,,,,
,,,,KARMAENG.NS,,,,,,,,
,,,,KARURVYSYA.NS,,,,,,,,
,,,,KAUSHALYA.NS,,,,,,,,
,,,,KAYA.NS,,,,,,,,
,,,,KCP.NS,,,,,,,,
,,,,KCPSUGIND.NS,,,,,,,,
,,,,KDDL.NS,,,,,,,,
,,,,KEC.NS,,,,,,,,
,,,,KECL.NS,,,,,,,,
,,,,KEI.NS,,,,,,,,
,,,,KELLTONTEC.NS,,,,,,,,
,,,,KENNAMET.NS,,,,,,,,
,,,,KERNEX.NS,,,,,,,,
,,,,KESORAMIND.NS,,,,,,,,
,,,,KEYFINSERV.NS,,,,,,,,
,,,,KGL.NS,,,,,,,,
,,,,KHADIM.NS,,,,,,,,
,,,,KHANDSE.NS,,,,,,,,
,,,,KICL.NS,,,,,,,,
,,,,KILITCH.NS,,,,,,,,
,,,,KINGFA.NS,,,,,,,,
,,,,KIOCL.NS,,,,,,,,
,,,,KIRIINDUS.NS,,,,,,,,
,,,,KIRLFER.NS,,,,,,,,
,,,,KIRLOSBROS.NS,,,,,,,,
,,,,KIRLOSENG.NS,,,,,,,,
,,,,KIRLOSIND.NS,,,,,,,,
,,,,KITEX.NS,,,,,,,,
,,,,KKCL.NS,,,,,,,,
,,,,KMSUGAR.NS,,,,,,,,
,,,,KNRCON.NS,,,,,,,,
,,,,KOHINOOR.NS,,,,,,,,
,,,,KOKUYOCMLN.NS,,,,,,,,
,,,,KOLTEPATIL.NS,,,,,,,,
,,,,KOPRAN.NS,,,,,,,,
,,,,KOTAKBANK.NS,,,,,,,,
,,,,KOTARISUG.NS,,,,,,,,
,,,,KOTHARIPET.NS,,,,,,,,
,,,,KOTHARIPRO.NS,,,,,,,,
,,,,KPITTECH.NS,,,,,,,,
,,,,KPRMILL.NS,,,,,,,,
,,,,KRBL.NS,,,,,,,,
,,,,KREBSBIO.NS,,,,,,,,
,,,,KRIDHANINF.NS,,,,,,,,
,,,,KRISHANA.NS,,,,,,,,
,,,,KSB.NS,,,,,,,,
,,,,KSCL.NS,,,,,,,,
,,,,KSERASERA.NS,,,,,,,,
,,,,KSK.NS,,,,,,,,
,,,,KSL.NS,,,,,,,,
,,,,KTKBANK.NS,,,,,,,,
,,,,KUANTUM.NS,,,,,,,,
,,,,KWALITY.NS,,,,,,,,
,,,,L&TFH.NS,,,,,,,,
,,,,LAKPRE.NS,,,,,,,,
,,,,LAKSHVILAS.NS,,,,,,,,
,,,,LALPATHLAB.NS,,,,,,,,
,,,,LAMBODHARA.NS,,,,,,,,
,,,,LAOPALA.NS,,,,,,,,
,,,,LASA.NS,,,,,,,,
,,,,LAURUSLABS.NS,,,,,,,,
,,,,LAXMIMACH.NS,,,,,,,,
,,,,LEMONTREE.NS,,,,,,,,
,,,,LFIC.NS,,,,,,,,
,,,,LGBBROSLTD.NS,,,,,,,,
,,,,LGBFORGE.NS,,,,,,,,
,,,,LIBAS.NS,,,,,,,,
,,,,LIBERTSHOE.NS,,,,,,,,
,,,,LICHSGFIN.NS,,,,,,,,
,,,,LINCOLN.NS,,,,,,,,
,,,,LINCPEN.NS,,,,,,,,
,,,,LINDEINDIA.NS,,,,,,,,
,,,,LOKESHMACH.NS,,,,,,,,
,,,,LOTUSEYE.NS,,,,,,,,
,,,,LOVABLE.NS,,,,,,,,
